"employee_id","position_ID"
1067,1064
1134,1030
1201,1097
1268,1037
1335,1072
1402,1001
1469,1008
1536,1093
1603,1094
1670,1091
1737,1051
1804,1028
1871,1022
1938,1062
2005,1038
2072,1045
2139,1083
2206,1080
2273,1014
2340,1007
2407,1081
2474,1095
2541,1074
2608,1033
2675,1073
2742,1100
2809,1059
2876,1018
2943,1050
3010,1066
3077,1061
3144,1012
3211,1098
3278,1048
3345,1019
3412,1065
3479,1058
3546,1053
3613,1004
3680,1046
3747,1016
3814,1089
3881,1002
3948,1041
4015,1035
4082,1013
4149,1010
4216,1027
4283,1070
4350,1086
4417,1067
4484,1085
4551,1090
4618,1032
4685,1078
4752,1060
4819,1049
4886,1024
4953,1092
5020,1069
5087,1044
5154,1056
5221,1015
5288,1077
5355,1009
5422,1036
5489,1003
5556,1021
5623,1029
5690,1039
5757,1026
5824,1071
5891,1099
5958,1087
6025,1088
6092,1054
6159,1042
6226,1084
6293,1011
6360,1063
6427,1006
6494,1005
6561,1020
6628,1075
6695,1079
6762,1057
6829,1052
6896,1040
6963,1034
7030,1043
7097,1076
7164,1082
7231,1096
7298,1031
7365,1068
7432,1047
7499,1025
7566,1055
7633,1023
7700,1017
